School Code,School Name,Zip Code
112706,CAVA@Los Angeles,93065
112714,Antelope Valley Learning Acad,93534
112722,Summit Preparatory Charter Hi,94063
112730,Wisdom Academy for Young Scie,90001
112748,Capistrano Home,92675
112763,United for Success Academy,94601
112771,Alliance Academy,94603
112789,Elmhurst Community Prep,94603
112797,Coliseum College Prep Academy,94621
112805,ROOTS International Academy,94621
112813,Fred T. Korematsu Discovery A,94603
112862,Student Empowerment Academy,90011
112870,Los Angeles School of Global,90017
112896,Monterey Community Day High,93940
112912,Fairfield-Suisun Elementary C,94533
112987,Forestville Academy,95436
113027,El Camino Real Elementary,93203
113043,Ronald W. Reagan Elementary,93657
113050,John J. Pershing Elementary,93638
113068,Lincoln Crossing Elementary,95648
113076,Ronald Reagan Elementary,93610
113084,Rolling Hills Elementary,94534
113092,Cordelia Hills Elementary,94534
113100,Earl Warren Elementary,92532
113118,Dougherty Valley High,94582
113134,Riverbend Elementary,95991
113142,Ronald W. Reagan Elementary,93631
113159,Tahquitz High,92545
113167,Teresa Burke Elementary,93280
113183,Marin County Juvenile Court,94913
113191,Heritage High,92585
113209,John Morse Therapeutic Center,95822
113266,Camp Glenwood,94065
113274,Thomas E. Mathews Community,95901
113332,Gateway Center,94402
113357,Mossdale Elementary,95336
113381,San Juan Hills High,92675
113407,Rocky Point Charter,96003
113423,Kathy Binks Elementary,92336
113431,University Preparatory Academ,95125
113464,Aveson Global Leadership Acad,91001
113472,Aveson School of Leaders,91001
113498,Poinsettia Elementary,92009
113506,Taylor Mountain Elem,95407
113514,Louise Foussat Elementary,92058
113522,Cesar Chavez Middle,92057
113530,Santa Rosa Charter/Arts,95404
113548,Granite Ridge Intermediate,93730
113555,Clovis North High,93730
113563,Bud Rank Elementary,93619
113571,Vista del Lago High,95630
113589,Live Oak Elementary,94582
113597,Phillip M. Stokoe Elementary,92505
113605,Lake Hills Elementary,92505
113621,Russell Ranch Elementary,95630
113639,Mission Valley Elementary,93274
113647,Dr. Bernice Jameson Todd Elem,92883
113654,Rosa Parks Elementary,92880
113662,Voices College-Bound Lang Acad,95111
113688,Perdew Elementary,91739
113696,Temecula Luiseno Elementary,92592
113704,Rocketship Mateo Sheedy Eleme,94301
113712,Orange Grove Elementary,92805
113738,Veterans Elementary,93312
113746,Mesa View Elmentary,92585
113753,Bobby Duke Middle,92236
113761,Orchard Park,94561
113779,West Palms Conservatory,92395
113787,Einstein Education Center,95776
113795,Crossroads Elementary,95367
113803,Mary Ann Sanders,95355
113811,Deborah A. Williams Elementary,93705
113829,Mario G. Olmos Elementary,93727
113837,Hacienda Elementary,93505
113852,Riverbank Language Academy,95367
113878,Higher Learning Academy,95815
113894,Pasadena Rosebud Academy,91001
113902,Impact Academy of Arts & Tech,94545
113910,El Tejon Continuation High,93243
113928,Riverside Preparatory,92368
113936,Tournament Hills Elementary,92223
113944,Beech Avenue Elementary,92335
113951,Old River Elementary,93311
113977,Rio Vista Middle,93036
113985,Cesar Chavez Elementary,92231
113993,Harvest Elementary,93723
114009,Wolf Canyon Elementary,91913
114025,Lincoln High,92113
114033,Rodriguez Elementary,92113
114041,Joyner Elementary,92105
114058,Lisa J. Mails Elementary,92563
114066,Boulder Ridge Middle,92585
114074,Farmdale Elementary,95341
114090,Mission Crest Elementary,92345
114108,Cedar Middle,92345
114116,Uncharted Shores Academy,95531
114132,Shasta Plus,96001
114140,George and Evelyn Stein Conti,95376
