County.Code,County.Name,Test.Id,Test.Name,Grade,Students.Tested,Mean.Scale.Score,Count.Test.Grade,Pct.Test.Grade
1,Alameda,7,CST English-Language Arts,2,16814,372.1,464896,0.036167229
1,Alameda,8,CST Mathematics,2,16802,398.4,464515,0.03617106
1,Alameda,8,CST Mathematics,3,16198,411.1,443961,0.036485187
1,Alameda,7,CST English-Language Arts,3,16126,357.2,441572,0.036519526
1,Alameda,7,CST English-Language Arts,4,15390,387,428906,0.035881988
1,Alameda,8,CST Mathematics,4,15532,405.8,433012,0.035869676
1,Alameda,8,CST Mathematics,5,15146,411.6,432775,0.0349974
1,Alameda,7,CST English-Language Arts,5,15077,378.4,429498,0.035103772
1,Alameda,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",5,15107,380.6,431142,0.0350395
1,Alameda,7,CST English-Language Arts,6,15277,374.9,434374,0.035170153
1,Alameda,8,CST Mathematics,6,15332,380.3,436563,0.035119788
1,Alameda,7,CST English-Language Arts,7,14551,378.4,431187,0.033746379
1,Alameda,9,CST Algebra I,7,2239,431.6,37803,0.059228104
1,Alameda,8,CST Mathematics,7,12326,370.2,393811,0.031299278
1,Alameda,9,CST Algebra I,8,11006,354.2,276039,0.039871178
1,Alameda,13,CST Algebra II,8,31,458.9,680,0.045588235
1,Alameda,7,CST English-Language Arts,8,14549,373.9,435491,0.033408268
1,Alameda,29,CST History - Social Science Grade 8,8,15421,363.3,459125,0.033587803
1,Alameda,28,CST General Mathematics,8,2143,308.4,145549,0.014723564
1,Alameda,11,CST Geometry,8,1732,428,29035,0.059652144
1,Alameda,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",8,14552,404.5,436071,0.033370713
1,Alameda,10,CST Integrated Math 1,9,121,298.8,980,0.123469388
1,Alameda,20,CST Biology,9,9473,377,228962,0.041373678
1,Alameda,21,CST Chemistry,9,186,364.3,5365,0.034669152
1,Alameda,24,CST Integrated/Coordinated Science 1,9,905,321.4,33944,0.02666156
1,Alameda,22,CST Earth Science,9,1651,328.8,133961,0.012324482
1,Alameda,23,CST Physics,9,754,312.8,14112,0.053429705
1,Alameda,25,CST Integrated/Coordinated Science 2,9,124,323,1351,0.091783864
1,Alameda,18,CST World History,9,597,320.1,35087,0.017014849
1,Alameda,11,CST Geometry,9,6613,353.4,144063,0.045903528
1,Alameda,28,CST General Mathematics,9,473,280.5,45052,0.010498979
1,Alameda,15,CST Summative High School Mathematics,9,37,477.3,809,0.045735476
1,Alameda,7,CST English-Language Arts,9,15420,371.7,463236,0.033287568
1,Alameda,13,CST Algebra II,9,1628,419.1,32400,0.050246914
1,Alameda,9,CST Algebra I,9,6619,305.9,243349,0.027199619
1,Alameda,9,CST Algebra I,10,2284,281.8,104567,0.021842455
1,Alameda,13,CST Algebra II,10,5869,349.3,131448,0.044648835
1,Alameda,7,CST English-Language Arts,10,15385,354.8,455362,0.033786306
1,Alameda,15,CST Summative High School Mathematics,10,1327,405.8,24757,0.053601002
1,Alameda,11,CST Geometry,10,5229,289.1,156167,0.033483386
1,Alameda,18,CST World History,10,14995,350.6,422893,0.035458142
1,Alameda,23,CST Physics,10,448,331.7,9902,0.045243385
1,Alameda,22,CST Earth Science,10,197,329.5,30649,0.006427616
1,Alameda,24,CST Integrated/Coordinated Science 1,10,397,304,4401,0.090206771
1,Alameda,21,CST Chemistry,10,6241,356.2,136209,0.045819292
1,Alameda,20,CST Biology,10,6824,346.1,228138,0.02991172
1,Alameda,12,CST Integrated Math 2,10,117,309.4,1432,0.081703911
1,Alameda,10,CST Integrated Math 1,10,67,310.6,5965,0.011232188
1,Alameda,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",10,15024,370.4,451374,0.033285036
1,Alameda,10,CST Integrated Math 1,11,43,284.8,6318,0.006805951
1,Alameda,12,CST Integrated Math 2,11,81,314.4,3364,0.024078478
1,Alameda,20,CST Biology,11,3342,370.5,99776,0.033495029
1,Alameda,21,CST Chemistry,11,4805,328.9,133804,0.035910735
1,Alameda,24,CST Integrated/Coordinated Science 1,11,329,308.3,7963,0.041316087
1,Alameda,22,CST Earth Science,11,633,334,42331,0.01495358
1,Alameda,23,CST Physics,11,2293,365,56726,0.040422381
1,Alameda,18,CST World History,11,566,266.1,16163,0.035018252
1,Alameda,11,CST Geometry,11,2217,270.1,78308,0.028311284
1,Alameda,19,CST U.S. History,11,14942,349.6,447386,0.033398452
1,Alameda,15,CST Summative High School Mathematics,11,5533,367.1,124304,0.044511842
1,Alameda,13,CST Algebra II,11,4609,287.9,122079,0.037754241
1,Alameda,7,CST English-Language Arts,11,14922,348.4,440115,0.033904775
1,Alameda,9,CST Algebra I,11,1043,274.2,49868,0.020915216
1,Alameda,13,CST Algebra II,13,12137,335.8,286737,0.042327987
1,Alameda,9,CST Algebra I,13,23191,337.4,711705,0.03258513
1,Alameda,10,CST Integrated Math 1,13,232,299.1,13486,0.017203025
1,Alameda,15,CST Summative High School Mathematics,13,6897,375.2,149987,0.045983985
1,Alameda,11,CST Geometry,13,15791,328.7,407658,0.038735901
1,Alameda,28,CST General Mathematics,13,2616,303.7,190615,0.013723999
1,Alameda,23,CST Physics,13,3495,349.6,80833,0.043237292
1,Alameda,18,CST World History,13,16158,347.5,474255,0.034070279
1,Alameda,24,CST Integrated/Coordinated Science 1,13,1631,314.5,46386,0.035161471
1,Alameda,25,CST Integrated/Coordinated Science 2,13,124,323,3742,0.03313736
1,Alameda,22,CST Earth Science,13,2481,330.2,206991,0.011986028
1,Alameda,21,CST Chemistry,13,11232,344.7,275452,0.040776614
1,Alameda,20,CST Biology,13,19639,365.1,556893,0.035265302
1,Alameda,12,CST Integrated Math 2,13,207,310.5,5102,0.040572325
2,Alpine,8,CST Mathematics,5,12,372.5,432775,2.7728E-05
2,Alpine,7,CST English-Language Arts,5,11,377.8,429498,2.56113E-05
2,Alpine,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",5,11,378.5,431142,2.55136E-05
2,Alpine,7,CST English-Language Arts,8,11,363.9,435491,2.52588E-05
2,Alpine,29,CST History - Social Science Grade 8,8,11,336.2,459125,2.39586E-05
2,Alpine,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",8,11,390.9,436071,2.52253E-05
3,Amador,7,CST English-Language Arts,2,298,343.8,464896,0.000641004
3,Amador,8,CST Mathematics,2,298,372,464515,0.000641529
3,Amador,8,CST Mathematics,3,313,400.1,443961,0.000705017
3,Amador,7,CST English-Language Arts,3,311,346.6,441572,0.000704302
3,Amador,7,CST English-Language Arts,4,298,371.3,428906,0.000694791
3,Amador,8,CST Mathematics,4,296,377.3,433012,0.000683584
3,Amador,8,CST Mathematics,5,258,361.3,432775,0.000596153
3,Amador,7,CST English-Language Arts,5,256,358.7,429498,0.000596045
3,Amador,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",5,257,366,431142,0.000596091
3,Amador,7,CST English-Language Arts,6,304,358.1,434374,0.000699858
3,Amador,8,CST Mathematics,6,305,351.2,436563,0.000698639
