District Code,District Name
71811,Alta Vista Elementary
71829,Buena Vista Elementary
71837,Burton Elementary
71845,Citrus South Tule Elementary
71852,Columbine Elementary
71860,Cutler-Orosi Joint Unified
71894,Ducor Union Elementary
71902,Earlimart Elementary
71910,Exeter Union Elementary
71928,Exeter Union High
71944,Hope Elementary
71951,Hot Springs Elementary
71969,Kings River Union Elementary
71985,Liberty Elementary
71993,Lindsay Unified
72009,Monson-Sultana Joint Union Elementary
72017,Oak Valley Union Elementary
72025,Outside Creek Elementary
72033,Palo Verde Union Elementary
72041,Pixley Union Elementary
72058,Pleasant View Elementary
72082,Richgrove Elementary
72090,Rockford Elementary
72108,Saucelito Elementary
72116,Sequoia Union Elementary
72132,Springville Union Elementary
72140,Stone Corral Elementary
72157,Strathmore Union Elementary
72173,Sundale Union Elementary
72181,Sunnyside Union Elementary
72199,Terra Bella Union Elementary
72207,Three Rivers Union Elementary
72215,Tipton Elementary
72223,Traver Joint Elementary
72231,Tulare City
72249,Tulare Joint Union High
72256,Visalia Unified
72264,Waukena Joint Union Elementary
72298,Woodville Union Elementary
72306,Belleview Elementary
72348,Columbia Union
72355,Curtis Creek Elementary
72363,Jamestown Elementary
72371,Sonora Elementary
72389,Sonora Union High
72397,Soulsbyville Elementary
72405,Summerville Elementary
72413,Summerville Union High
72421,Twain Harte-Long Barn Union Elementary
72447,Briggs Elementary
72454,Fillmore Unified
72462,Hueneme Elementary
72470,Mesa Union Elementary
72504,Mupu Elementary
72512,Ocean View
72520,Ojai Unified
72538,Oxnard
72546,Oxnard Union High
72553,Pleasant Valley
72561,Rio Elementary
72579,Santa Clara Elementary
72587,Santa Paula Elementary
72595,Santa Paula Union High
72603,Simi Valley Unified
72611,Somis Union
72652,Ventura Unified
72678,Davis Joint Unified
72686,Esparto Unified
72694,Washington Unified
72702,Winters Joint Unified
72710,Woodland Joint Unified
72728,Camptonville Elementary
72736,Marysville Joint Unified
72744,Plumas Lake Elementary
72751,Wheatland
72769,Wheatland Union High
73361,Shoreline Unified
73379,Pioneer Union Elementary
73387,Milpitas Unified
73437,Compton Unified
73445,Hacienda la Puente Unified
73452,Rowland Unified
73460,Walnut Valley Unified
73544,Rio Bravo-Greeley Union Elementary
73551,Carlsbad Unified
73569,Oceanside Unified
73585,Modoc Joint Unified
73593,Tulelake Basin Joint Unified
73601,Newman-Crows Landing Unified
73619,Gustine Unified
73635,Saddleback Valley Unified
73643,Tustin Unified
73650,Irvine Unified
73668,Eastern Sierra Unified
73676,Coachella Valley Unified
73684,Butte Valley Unified
73692,Mammoth Unified
73700,Mountain Union Elementary
73726,Merced River Union Elementary
73742,Sierra Sands Unified
73759,Conejo Valley Unified
73783,Black Oak Mine Unified
73791,San Marcos Unified
73809,Firebaugh-Las Deltas Joint Unified
73825,North Monterey County Unified
73833,Southern Trinity Joint Unified
73858,Baker Valley Unified
73866,Potter Valley Community Unified
73874,Oak Park Unified
73882,Cotati-Rohnert Park Unified
73890,Silver Valley Unified
73908,McFarland Unified
73916,Laytonville Unified
73924,Los Alamitos Unified
73932,Reef-Sunset Unified
73940,Moorpark Unified
73957,Snowline Joint Unified
73965,Central Unified
73973,Center Joint Unified
73981,Amador County Unified
73999,Kerman Unified
75002,Ross Valley Elementary
75010,Cuyama Joint Unified
75028,Mountain Valley Unified
75036,Fort Sage Unified
75044,Hesperia Unified
75051,Lucerne Valley Unified
75069,Upland Unified
75077,Apple Valley Unified
75085,Rocklin Unified
75093,Dublin Unified
75101,Pleasanton Unified
75119,Sunol Glen Unified
75127,Mendota Unified
75150,Big Sur Unified
75168,El Tejon Unified
75176,Lake Elsinore Unified
75184,Big Oak Flat-Groveland Unified
75192,Temecula Valley Unified
75200,Murrieta Valley Unified
75218,Leggett Valley Unified
75234,Golden Plains Unified
75242,Val Verde Unified
75259,Aromas/San Juan Unified
75267,Gateway Unified
75275,Sierra Unified
75283,Natomas Unified
75291,San Gabriel Unified
75309,Acton-Agua Dulce Unified
75317,Dos Palos Oro Loma Joint Unified
75325,Farmersville Unified
75333,Manhattan Beach Unified
75341,Redondo Beach Unified
75358,Windsor Unified
75366,Delhi Unified
75374,Ferndale Unified
75382,Mattole Unified
75390,Healdsburg Unified
75408,Riverdale Joint Unified
75416,Warner Unified
75432,Scotts Valley Unified
75440,Soledad Unified
75457,Paso Robles Joint Unified
75465,Coast Unified
75473,Gonzales Unified
75481,Orland Joint Unified
75499,Tracy Joint Unified
75507,Gridley Unified
75515,Eureka City Schools
75523,Porterville Unified
75531,Dinuba Unified
75549,Hughson Unified
75556,Riverbank Unified
75564,Oakdale Joint Unified
75572,Waterford Unified
75580,Golden Valley Unified
75598,Caruthers Unified
75606,Chawanakee Unified
75614,Valley Center-Pauma Unified
75630,SBE - Ridgecrest Charter
75663,SBE - New West Charter
75697,SBE - The School of Arts and Enterprise
75713,Alhambra Unified
75739,Turlock Unified
76372,SBE - Livermore Valley Charter
76414,Yosemite Unified
76455,Scott Valley Unified
76471,SBC - High Tech High
76489,SBC - Aspire Public Schools
76497,SBE - Lifeline Education Charter
76505,Twin Rivers Unified
76513,Trinity Alps Unified
76521,SBE - Doris Topsy-Elvord Academy
76547,SBE - Barack Obama Charter
76562,Hamilton Unified
76570,SBE - Western Sierra Collegiate Academy
76588,SBE - Everest Public High
76596,SBC - Pacific Technology
76604,SBE - River Montessori Elementary Charte
76638,SBE - Aspire Vanguard College Preparator
76653,SBE - Livermore Valley Charter Preparato
76661,SBE - Dixon Montessori Charter
76679,SBE - Ingenium Charter
76687,Bishop Unified
76703,SBE - San Francisco Flex Academy
76729,SBE - Long Valley Charter
76737,SBE - Today's Fresh Start Charter
76760,Lammersville Joint Unified
76778,Washington Unified
76786,Santa Barbara Unified
76794,Woodlake Unified
76802,Fortuna Elementary
